TREATMENT_ID,THRESHOLD,ALGORITHM,F1_SCORE,ACCURACY
1119,15008,ADA,0.722873065774081,0.765547263681592
1119,15008,DT,0.873483256815293,0.88681592039801
1119,15008,KNN,0.251396648044693,0.335820895522388
1119,15008,LR,0.713287844475162,0.758706467661692
1119,15008,NN,0.251396648044693,0.335820895522388
1119,15008,RF,0.894337665032553,0.90547263681592
1119,15008,SGD,0.356550580431177,0.396766169154229
1119,15008,SVC,0.399103139013453,0.664179104477612
1120,7734,ADA,0.734491931342756,0.789405684754522
1120,7734,DT,0.910084328079651,0.921188630490956
1120,7734,KNN,0.241176470588235,0.317829457364341
1120,7734,LR,0.690322666212778,0.766149870801034
1120,7734,NN,0.289475084827722,0.348191214470284
1120,7734,RF,0.917335953520164,0.928940568475452
1120,7734,SGD,0.244364525401878,0.319767441860465
1120,7734,SVC,0.405529953917051,0.682170542635659
1121,8924,ADA,0.715987593917994,0.782786885245902
1121,8924,DT,0.880103448275862,0.896174863387978
1121,8924,KNN,0.2375,0.311475409836066
1121,8924,LR,0.724269971856938,0.78551912568306
1121,8924,NN,0.2375,0.311475409836066
1121,8924,RF,0.899531572376053,0.915300546448087
1121,8924,SGD,0.583455629099404,0.584699453551913
1121,8924,SVC,0.407766990291262,0.688524590163934
1122,13273,ADA,0.486842105263158,0.948717948717949
1122,13273,DT,0.904606604158174,0.982905982905983
1122,13273,KNN,0.486842105263158,0.948717948717949
1122,13273,LR,0.75313562302192,0.961538461538462
1122,13273,NN,0.472769855622424,0.675213675213675
1122,13273,RF,0.910723531816324,0.985042735042735
1122,13273,SGD,0.484581497797357,0.94017094017094
1122,13273,SVC,0.486842105263158,0.948717948717949
1123,8141,ADA,0.728109101187111,0.853994490358127
1123,8141,DT,0.895621379683474,0.934573002754821
1123,8141,KNN,0.444954128440367,0.801652892561983
1123,8141,LR,0.697321428571428,0.84435261707989
1123,8141,NN,0.16551724137931,0.198347107438017
1123,8141,RF,0.906933609127805,0.944214876033058
1123,8141,SGD,0.22592276674938,0.242424242424242
1123,8141,SVC,0.444954128440367,0.801652892561983
1124,10939,ADA,0.822651533446028,0.843137254901961
1124,10939,DT,0.933326070378037,0.941176470588235
1124,10939,KNN,0.25,0.333333333333333
1124,10939,LR,0.820816864295125,0.843137254901961
1124,10939,NN,0.4,0.666666666666667
1124,10939,RF,0.931732465065798,0.939542483660131
1124,10939,SGD,0.271706016755522,0.34640522875817
1124,10939,SVC,0.4,0.666666666666667
1125,9305,ADA,0.434782608695652,0.769230769230769
1125,9305,DT,0.846517119244392,0.893162393162393
1125,9305,KNN,0.434782608695652,0.769230769230769
1125,9305,LR,0.434782608695652,0.769230769230769
1125,9305,NN,0.2525374714121,0.277777777777778
1125,9305,RF,0.88663967611336,0.925213675213675
1125,9305,SGD,0.223747426218257,0.256410256410256
1125,9305,SVC,0.434782608695652,0.769230769230769
1126,10019,ADA,0.73216077289899,0.946540880503145
1126,10019,DT,0.87994966442953,0.971698113207547
1126,10019,KNN,0.482926829268293,0.933962264150943
1126,10019,LR,0.701925808100892,0.94811320754717
1126,10019,NN,0.482926829268293,0.933962264150943
1126,10019,RF,0.900818713450292,0.977987421383648
1126,10019,SGD,0.695093062605753,0.919811320754717
1126,10019,SVC,0.482926829268293,0.933962264150943
1129,8139,ADA,0.708448188413787,0.758547008547009
1129,8139,DT,0.869614770914064,0.882478632478633
1129,8139,KNN,0.4,0.666666666666667
1129,8139,LR,0.686996650373698,0.743589743589744
1129,8139,NN,0.25,0.333333333333333
1129,8139,RF,0.878508264075144,0.892094017094017
1129,8139,SGD,0.350892114979413,0.386752136752137
1129,8139,SVC,0.4,0.666666666666667
1130,12883,ADA,0.57747054322347,0.811063218390805
1130,12883,DT,0.874347856686056,0.915229885057471
1130,12883,KNN,0.171428571428571,0.206896551724138
1130,12883,LR,0.596048706311159,0.802442528735632
1130,12883,NN,0.171428571428571,0.206896551724138
1130,12883,RF,0.892702980472765,0.931034482758621
1130,12883,SGD,0.171428571428571,0.206896551724138
1130,12883,SVC,0.442307692307692,0.793103448275862
1131,9376,ADA,0.714130168744039,0.797709923664122
1131,9376,DT,0.875376565720628,0.896946564885496
1131,9376,KNN,0.415178571428571,0.709923664122137
1131,9376,LR,0.717394468081464,0.786259541984733
1131,9376,NN,0.198708140984573,0.212468193384224
1131,9376,RF,0.899656744401005,0.91793893129771
1131,9376,SGD,0.300328312743273,0.330788804071247
1131,9376,SVC,0.415178571428571,0.709923664122137
1132,9037,ADA,0.628649096382162,0.922814207650273
1132,9037,DT,0.892488546686024,0.96448087431694
1132,9037,KNN,0.476394849785408,0.90983606557377
1132,9037,LR,0.50568801620695,0.91120218579235
1132,9037,NN,0.476394849785408,0.90983606557377
1132,9037,RF,0.928099332219125,0.977459016393443
1132,9037,SGD,0.0946273185615937,0.100409836065574
1132,9037,SVC,0.502058040192314,0.758196721311475
1133,9596,ADA,0.777272727272727,0.876262626262626
1133,9596,DT,0.878559057671376,0.922979797979798
1133,9596,KNN,0.164556962025316,0.196969696969697
1133,9596,LR,0.741838902839482,0.863636363636364
1133,9596,NN,0.164556962025316,0.196969696969697
1133,9596,RF,0.903269144648455,0.939393939393939
1133,9596,SGD,0.238381266672613,0.251262626262626
1133,9596,SVC,0.445378151260504,0.803030303030303
1134,7072,ADA,0.762954677591694,0.831039755351682
1134,7072,DT,0.897130915777529,0.919724770642202
1134,7072,KNN,0.420212765957447,0.724770642201835
1134,7072,LR,0.761901302390505,0.829510703363914
1134,7072,NN,0.420212765957447,0.724770642201835
1134,7072,RF,0.900498831440465,0.922782874617737
1134,7072,SGD,0.215827338129496,0.275229357798165
1134,7072,SVC,0.420212765957447,0.724770642201835
1137,8971,ADA,0.730224185209219,0.773989898989899
1137,8971,DT,0.878942273398889,0.890151515151515
1137,8971,KNN,0.258426966292135,0.348484848484849
1137,8971,LR,0.707521603517922,0.753787878787879
1137,8971,NN,0.411245269417913,0.416666666666667
1137,8971,RF,0.883254514522951,0.892676767676768
1137,8971,SGD,0.661245132072812,0.662878787878788
1137,8971,SVC,0.394495412844037,0.651515151515152
1139,4445,ADA,0.810019024817768,0.824444444444444
1139,4445,DT,0.919308626960274,0.923333333333333
1139,4445,KNN,0.627049963683627,0.698888888888889
1139,4445,LR,0.803576086320059,0.817777777777778
1139,4445,NN,0.271844660194175,0.373333333333333
1139,4445,RF,0.936260288848436,0.94
1139,4445,SGD,0.27383468883236,0.374444444444444
1139,4445,SVC,0.385245901639344,0.626666666666667
1140,7301,ADA,0.817572470027295,0.856770833333333
1140,7301,DT,0.907359752959341,0.921875
1140,7301,KNN,0.228915662650602,0.296875
1140,7301,LR,0.800849936672646,0.842447916666667
1140,7301,NN,0.228915662650602,0.296875
1140,7301,RF,0.917850824865265,0.932291666666667
1140,7301,SGD,0.26420166842738,0.315104166666667
1140,7301,SVC,0.412844036697248,0.703125
1142,8480,ADA,0.743133067729084,0.789954337899543
1142,8480,DT,0.911142282478278,0.920091324200913
1142,8480,KNN,0.396694214876033,0.657534246575342
1142,8480,LR,0.741801207863141,0.776255707762557
1142,8480,NN,0.396694214876033,0.657534246575342
1142,8480,RF,0.907259239922557,0.916666666666667
1142,8480,SGD,0.360978755027103,0.39041095890411
1142,8480,SVC,0.396694214876033,0.657534246575342
1143,8575,ADA,0.722093561834183,0.884259259259259
1143,8575,DT,0.851335656213705,0.925925925925926
1143,8575,KNN,0.142857142857143,0.166666666666667
1143,8575,LR,0.617948532076839,0.858796296296296
1143,8575,NN,0.142857142857143,0.166666666666667
1143,8575,RF,0.870260169293572,0.9375
1143,8575,SGD,0.142857142857143,0.166666666666667
1143,8575,SVC,0.454545454545455,0.833333333333333
1144,10379,ADA,0.707197643503376,0.798689138576779
1144,10379,DT,0.877516172741444,0.898876404494382
1144,10379,KNN,0.219298245614035,0.280898876404494
1144,10379,LR,0.677736264447826,0.781835205992509
1144,10379,NN,0.219298245614035,0.280898876404494
1144,10379,RF,0.900160899541717,0.920411985018727
1144,10379,SGD,0.219298245614035,0.280898876404494
1144,10379,SVC,0.418300653594771,0.719101123595506
1146,8844,ADA,0.683493760665529,0.813725490196078
1146,8844,DT,0.890423572744015,0.920168067226891
1146,8844,KNN,0.430622009569378,0.756302521008403
1146,8844,LR,0.665465097825841,0.804621848739496
1146,8844,NN,0.430622009569378,0.756302521008403
1146,8844,RF,0.899926347726673,0.928571428571429
1146,8844,SGD,0.195945945945946,0.243697478991597
1146,8844,SVC,0.430622009569378,0.756302521008403
1147,9537,ADA,0.636203606212161,0.690476190476191
1147,9537,DT,0.859539120631342,0.863756613756614
1147,9537,KNN,0.526311488063347,0.634920634920635
1147,9537,LR,0.661839530332681,0.703703703703704
1147,9537,NN,0.572003218020917,0.623015873015873
1147,9537,RF,0.875163086772143,0.87962962962963
1147,9537,SGD,0.643857882623705,0.653439153439153
1147,9537,SVC,0.376237623762376,0.603174603174603
1148,6532,ADA,0.802081288042411,0.830357142857143
1148,6532,DT,0.907434841824706,0.91765873015873
1148,6532,KNN,0.664,0.744047619047619
1148,6532,LR,0.786884255623656,0.819444444444444
1148,6532,NN,0.4,0.666666666666667
1148,6532,RF,0.92516745245126,0.933531746031746
1148,6532,SGD,0.546951971811925,0.548611111111111
1148,6532,SVC,0.4,0.666666666666667
1204,11792,ADA,0.735483752456878,0.859375
1204,11792,DT,0.873046875,0.91875
1204,11792,KNN,0.444444444444444,0.8
1204,11792,LR,0.677674851062364,0.8375
1204,11792,NN,0.166666666666667,0.2
1204,11792,RF,0.882339757956073,0.927083333333333
1204,11792,SGD,0.166666666666667,0.2
1204,11792,SVC,0.449883142170525,0.801041666666667
1205,9835,ADA,0.702123026673925,0.709722222222222
1205,9835,DT,0.890354823972423,0.893055555555556
1205,9835,KNN,0.368421052631579,0.583333333333333
1205,9835,LR,0.675226295828066,0.690277777777778
1205,9835,NN,0.345095693779904,0.391666666666667
1205,9835,RF,0.891324208168162,0.894444444444444
1205,9835,SGD,0.412001797927319,0.4625
1205,9835,SVC,0.368421052631579,0.583333333333333
1206,8091,ADA,0.546732716544037,0.850490196078431
1206,8091,DT,0.889705882352941,0.938725490196078
1206,8091,KNN,0.456,0.838235294117647
1206,8091,LR,0.669490080154625,0.860294117647059
1206,8091,NN,0.456,0.838235294117647
1206,8091,RF,0.910835058661146,0.95343137254902
1206,8091,SGD,0.675973164960256,0.790441176470588
1206,8091,SVC,0.456,0.838235294117647
1207,7476,ADA,0.764536110041747,0.826822916666667
1207,7476,DT,0.914001327140013,0.9296875
1207,7476,KNN,0.219512195121951,0.28125
1207,7476,LR,0.740433496572445,0.811197916666667
1207,7476,NN,0.219512195121951,0.28125
1207,7476,RF,0.908082854773178,0.92578125
1207,7476,SGD,0.738195655620739,0.776041666666667
1207,7476,SVC,0.42218200351567,0.717447916666667
1208,7929,ADA,0.638433632344535,0.945767195767196
1208,7929,DT,0.869112494332001,0.972222222222222
1208,7929,KNN,0.483606557377049,0.936507936507936
1208,7929,LR,0.710144927536232,0.953703703703704
1208,7929,NN,0.483606557377049,0.936507936507936
1208,7929,RF,0.8330491930711,0.966931216931217
1208,7929,SGD,0.635643293828341,0.832010582010582
1208,7929,SVC,0.483606557377049,0.936507936507936
1211,8732,ADA,0.709922125779102,0.710858585858586
1211,8732,DT,0.877382747970983,0.877525252525252
